german,english,hungarian,type,⍨,,
Kinder welcher Alter,how old of a child ...,"milyen korú gyerekek ..., hány éves gyerekek ...",exp,2014-08-20,,
Kontakt knüpfen,making contact,kapcsolatot teremteni,exp,2014-05-11,,
krass!,"crass; cool (slang), rad (slang)",durva!,exp,2014-05-01,,
leider geil,so cool,fasza (slang),exp,2014-05-01,,
letztes mahl,last time,utolsó alkalommal,exp,2014-05-01,,
man gewöhnt sich d'ran,you get used to it,megszokja az ember,exp,2014-10-18,,
"mir gleich, es ist mir gleich",doesn't matter,mindegy,exp,2014-10-01,,
mit allem drumm und dran,"lock, stock and barrel; with all the trimmings","mindennel, ami hozzá tartozik",exp,2014-08-24,,
mit allem Pipapo,"lock, stock and barrel; with all the trimmings","mindennel, ami hozzá tartozik",exp,2014-08-24,,
mit Hilfe von,by (indicates a means),valami segítségével,exp,2014-05-01,,
nach Absprache,"as agreed, as discussed",megbeszélés szerint; megegyezés szerint,exp,2014-10-01,,
nett Sie kennenzulehrnen,nice to meet you,örvendek,exp,2014-10-10,,
nicht mal,not even,még azt sem,exp,2014-06-04,,
nicht wirklich,not really,nem igazán,exp,2014-05-29,,
nie im Leben,never ever,soha az életben,exp,2014-10-09,,
Paar mal,couple of times,párszor,exp,2014-05-01,,
passt schon,just fits; never mind,pont passzol; hagyd,exp,2014-05-01,,
per etw.,via sthg,"valami útján, valami módon",exp,2014-05-15,,
Pflicht sein,mandatory,kötelező,exp,2014-05-01,,
recht häufig,relatively often,viszonylag gyakran,exp,2014-08-11,,
recht sein,to be right,megfelelni,exp,2014-05-01,,
schlechtes Gewissen,remorse,bűntudat,exp,2014-05-01,,
selbständig machen,become self-employed,vállalkozóvá lenni,exp,2014-05-01,,
sich entscheidet es,we will see; it will be decided,eldől,exp,2014-05-09,,
um 7 Uhr,at 7 o'clock,7 órakor,exp,2014-05-01,,
um Aufmerksamkeit bitten,asking for attention,figyelmet kérek,exp,2014-05-24,,
um die Ecke,around the corner,a sarkon,exp,2014-10-08,,
um die Ecke bringen,to call someone out,kihívni valakit az utcára,exp,2014-10-08,,
um Informationen bitten,I'm asking information,információt kérek,exp,2014-05-24,,
und zwar,in fact,méghozzá,exp,2014-05-09,,
usw (und so weiter),"and so on, and so forth",stb,exp,2014-05-01,,
Versicherung abschließen,to sign an insurance contract,biztostást megkötni,exp,2014-06-04,,
Vertrag abschließen,to sign a contract,szerződést megkötni,exp,2014-06-04,,
von Heute in eine Woche,one week from now,egy hét múlva,exp,2014-06-06,,
von nun an,from now on,ettől kezdve,exp,2014-05-01,,
von zu Hause (aus),from home,otthonról,exp,2014-08-20,,
von Zuhause (aus),from home,otthonról,exp,2014-08-20,,
vor allem,above all; first of all,mindenek előtt; elsősorban; leginkább; mindenekelőtt; főleg hogy,exp,2014-08-13,,
was auch immer,whatever,"jól van, hagyjál már; ",exp,2014-05-01,,
Was für ein Ekel?,how disgusting?,micsoda gusztustalanság,exp,2014-10-01,,
Was für... (Was für Bier gibt es?),What ...? What kind of ...? (What kind of beer do you have?),Milyen ...? (Milyen sör van?),exp,2014-10-15,,
weit von,far away from,távol (valamitől),exp,2014-05-01,,
Welche Art von Käse gibt es?,what kinds of cheese are there?; what kinds of cheese do you have?,milyen sajtok vannak?,exp,2014-06-10,,
Welche Sorten gibt es?,what kinds are there?; what kinds do you have?,milyenek vannak?,exp,2014-06-10,,
wie auch immer,whatever,"jól van, hagyjál már",exp,2014-05-01,,
wie lief es?,who did it go?,hogy ment?,exp,2014-10-11,,
wie üblich,as usual,mint megszokott,exp,2014-05-01,,
Wo geht es lang?,Which way?,Merre (megyünk)?,exp,2014-10-13,,
Wo lang?,which way? (colloquial),merre? (informális),exp,2014-10-10,,
zu dritt sein,group of three,hárman lenni,exp,2014-05-09,,
zu kurz kommen,be neglected ,"rövidebbet húzni, elhanyagolni",exp,2014-05-01,,
zu viert sein,group of four,négyen lenni,exp,2014-05-09,,
zu zweit sein,group of two,ketten lenni; kettesben lenni,exp,2014-05-09,,
zum Teil,to some extent,részben; egy bizonyos fokig/szintig,exp,2014-06-04,,
zur Erinnerung an,as a memento of sth.,vmiről emlékbe,exp,2014-05-09,,
zweit größte,second largest,második legnagyobb,exp,2014-05-29,,
"ADAC, Allgemeiner Deutscher Automobil-Club e.V.",General German Automobile Club,sárga angyal,init,2014-05-01,,
also!,"so!, all right!",ahha! nahát!,inter,2014-07-30,,
"r Kunde,~n",customer,ügyfél,noun,2014-10-10,,
"r Aal,~e",eel,sikló,noun,2014-10-01,,
"e Abfrage,~n",query,keresés (IT),noun,2014-10-06,,
"s Abo,~s",subscription,előfizetés,noun,2014-05-05,,
"r Abschied,~e","parting, farewell",búcsúzás,noun,2014-05-24,,
"r Abschluss,⍨e",end,befejezés,noun,2014-05-01,,
"e Absprache,~n",collusion,megbeszélés,noun,2014-10-01,,
"e Abteilung,~en",department,részleg,noun,2014-10-10,,
"e Affe,~n",monkey,majom,noun,2014-05-01,,
"s Ägypten,-",Egypt,Egyiptom,noun,2014-10-16,,
"r Ägypter,~",Egyptian (male),egyiptomi (férfi),noun,2014-10-16,,
"e Ägypterin,~nen",Egyptian (female),egyiptomi (nő),noun,2014-10-16,,
"s Ägyptisch,~e",Egyptian,egyiptomi,noun,2014-10-16,,
"r Alki,~s",junky,alkesz (slang),noun,2014-05-15,,
"e Altersklasse,~n","age class, age group",korcsoport???,noun,2014-08-20,,
"r Amerikaner,~",American (male),amerikai (férfi),noun,2014-10-16,,
"e Amerikanerin,~nen",American (female),amerikai (nő),noun,2014-10-16,,
"s Amerikanisch,~e",American,amerikai,noun,2014-10-16,,
"s Amt,⍨er",office,hivatal,noun,2014-05-05,,
"r Anbau,~ten",extension,bővítés,noun,2014-05-01,,
"s Anführungszeichen,~",quotation marks,idézőjel,noun,2014-06-06,,
"e Angst,⍨e",fear,félelem,noun,2014-10-15,,
"r Anker,~",anchor,link,noun,2014-10-06,,
"e Annahme,~n","acceptance; receipt, receiving",átvétel; felvétel (címé/névé/vallásé),noun,2014-05-09,,
"r Anschluss,⍨e",connection,kapcsolat,noun,2014-10-06,,
"s Ansehen,-",respect,megbecsülés,noun,2014-06-06,,
"r Anspruch,⍨e",entitlement; claim,jog; igény,noun,2014-06-04,,
"r Anteil,~e",share,rész,noun,2014-09-10,,
"r Anwalt,~en",lawyer (male),ügyvéd,noun,2014-09-10,,
"e Anwältin,~nen",lawyer (female),ügyvédnő,noun,2014-09-10,,
"e Anwendung,~en","application, app",alkalmazás (számtech),noun,2014-09-22,,
"e Applikation,~en",application,"program (IT), applikáció",noun,2014-10-06,,
"r Arbeitnehmer,~",employee,munkavállaló,noun,2014-10-09,,
"r Arbeitsplatz,⍨e",work place (both abstract or concrete),munkahely (absztrakt vagy konkrét),noun,2014-10-10,,
"r Arbeitsspeicher,~",main memory; internal memory,belső memória; elsődleges memória,noun,2014-10-06,,
"s Argentinien,-",Argentina,Argentína,noun,2014-10-16,,
"r Argentinier,~",Argentinian (male),argentín (férfi),noun,2014-10-16,,
"e Argentinierin,~nen",Argentinian (female),argentín (nő),noun,2014-10-16,,
"s Argentinisch,~e",Argentinan,argentín,noun,2014-10-16,,
"r Armleuchter,~","knucklehead, bonehead, idiot",idióta,noun,2014-10-15,,
"e Art,-en","kind, sort, type; species",fajta (bármire),noun,2014-06-10,,
"r Ast,⍨e",branch,ág,noun,2014-05-01,,
"e Atmosphäre,~n",atmosphere,hangulat,noun,2014-07-14,,
"r Atze,~n","mate, buddy, dog (slang)","dude, haver (slang)",noun,2014-08-20,,
r Aufenthalt,stay,tartózkodás,noun,2014-08-11,,
"e Aufforderung,~en",prompt,felszólítás,noun,2014-05-01,,
"e Aufgabe,~e","task, assignment, mission; giving up",feladat; feladni,noun,2014-10-10,,
"e Auflösung,~en","resolution, abolishment",felbontás,noun,2014-05-01,,
"e Aufmerksamkeit,~en","attention, care",figyelem,noun,2014-05-24,,
"r Auftrag,⍨e",task,megbízás,noun,2014-05-10,,
"r Augenblick,~e",instant,szempillantás,noun,2014-10-14,,
"r Augenschmaus,⍨e",eye candy,látványelem,noun,2014-07-21,,
"e Ausdruck,⍨e",expression,kifejezés,noun,2014-08-24,,
"e Ausführung,~en",execution,végrehajtás,noun,2014-06-06,,
"s Ausführungszeichen,~",exclamation mark,felkiáltójel,noun,2014-06-06,,
"e Ausgabe,~n",edition,kiadás,noun,2014-05-09,,
"s Australien,-",Australia,Australia,noun,2014-10-16,,
"r Australier,~",Australian (male),ausztrál (férfi),noun,2014-10-16,,
"e Australierin,~nen",Australian (female),ausztrál (nő),noun,2014-10-16,,
"s Australisch,~e",Australian,ausztrál,noun,2014-10-16,,
"s/e Baklava,~s",baklava ,baklava,noun,2014-05-01,,
"r Ballaststoff,~e",fiber ,rost,noun,2014-05-01,,
"s Banner,~",banner,banner,noun,2014-10-06,,
"e Bauchtasche,~n","belt bag, fanny pack","övtáska, hasitasi",noun,2014-07-22,,
"e Baumstructur,~en",tree structure,fa-struktúra,noun,2014-10-06,,
"s Becken,~",pool,medence,noun,2014-06-09,,
"r Begriff,~e","term, concept",kifejezés,noun,2014-08-13,,
"s Bein,~e",leg,láb,noun,2014-05-05,,
"s Belgien,-",Belgium,Belgium,noun,2014-10-16,,
"r Belgier,~",Belgian (male),belga (férfi),noun,2014-10-16,,
"e Belgierin,~nen",Belgian (female),belga (nő),noun,2014-10-16,,
"s Belgisch,~e",Belgian,belga,noun,2014-10-16,,
"e Benutzeroberfläche,~n",user interface,felhasználói felület,noun,2014-10-06,,
"s Bereich,~e",realm; area; range; scope; section,részleg; terület (átv. is),noun,2014-09-10,,
"r Bericht,~e",report,"riport, jelentés",noun,2014-05-10,,
"e Beschwerde,~n",complaint,panasz,noun,2014-05-24,,
"r Besen,~",broom,seprű,noun,2014-05-01,,
"e Besprechung,~en",meeting,tárgyalás,noun,2014-08-24,,
"e Besucherstatistik,~en",visitor statistics,látogatói statisztika,noun,2014-10-06,,
"r Betrieb,~e",firm,"üzem, gyár",noun,2014-05-01,,
"s Betriebssystem,~e",operating system,operációs rendszer,noun,2014-10-06,,
"e Beute,-",prey, zsákmány,noun,2014-10-14,,
"e Beute,~n",beehive,"kas, méhkas",noun,2014-10-14,,
"e Bewegung,~en",move,mozdulat,noun,2014-05-05,,
"r Bildschirm,~e",screen,képernyő,noun,2014-10-06,,
e Bildung,education,oktatás,noun,2014-05-10,,
"s Bit,~s",bit,bit,noun,2014-10-06,,
"e Blase,~n",blister,hólyag,noun,2014-05-09,,
"s Bleichgesicht,~er",pale-face,sápadt arcú,noun,2014-10-14,,
"r Bleistift,~e",pencil,ceruza,noun,2014-10-18,,
"r Blödsinn,-","nonsense, rubbish",hülyeség,noun,2014-05-01,,
"s Bock,~","bock beer (strong, dark lager of German origin)","bock sör (német eredetű, erős, sötét lager)",noun,2014-08-11,,
"r Bock,⍨e","lust, desire, interest (colloquial, slang)","kedv (informatív, szleng)",noun,2014-08-11,,
"r Bohrer,~",drill,fúró,noun,2014-08-04,,
"s Bookmark,~s",bookmark,bookmark,noun,2014-10-06,,
"r Böse,~",devil,"(az) ördög, (a) gonosz",noun,2014-10-11,,
"r Brand,⍨e",fire,tűz,noun,2014-06-04,,
"r Brasilianer,~",Brazilian (male),brazil (férfi),noun,2014-10-16,,
"e Brasilianerin,~nen",Brazilian (female),brazil (nő),noun,2014-10-16,,
"s Brasilianisch,~e",Brazilian,brazil,noun,2014-10-16,,
"s Brasilien,-",Brazil,Brazília,noun,2014-10-16,,
"e Braut,⍨e",bride ,menyasszony,noun,2014-05-01,,
"r Bräutigam,~e",groom ,vőlegény,noun,2014-05-01,,
s Brautkleid,"bridal gown, bride's dress",menyasszonyi ruha,noun,2014-08-11,,
"s Brautpaar,~e",bride and groom ,jegyespár,noun,2014-05-01,,
"r Brite,~n","Briton, Britishman",britt (férfi),noun,2014-10-16,,
"e Britin,~nen","Briton, Britishwoman",britt (nő),noun,2014-10-16,,
"s Britisch,~e",British,britt,noun,2014-10-16,,
"r Browser,~",browser,böngésző,noun,2014-10-06,,
"r Büffel,~",buffalo,"bivaly, bölény",noun,2014-10-14,,
"e Bühne,~n",stage,színpad,noun,2014-09-10,,
"s Bundesrepublik Deutschland,-",The Federal Republic of Germany,Német Szövetségi Köztársaság,noun,2014-10-16,,
"r Businsasse,~n",bus passengers,buszon ülők (csak többes),noun,2014-05-01,,
"r Cache,~s",cache,cache,noun,2014-10-06,,
"r CD-Brenner,~",cd burner,cd-író,noun,2014-10-06,,
"r Channel,~s",channel (IT),csatorna (IT),noun,2014-10-06,,
"r Chat,~s",chat (IT),chat,noun,2014-10-06,,
"s China,-",China,Kína,noun,2014-10-16,,
"r Chinese,~n",Chinese (male),kínai (férfi),noun,2014-10-16,,
"e Chinesin, Chinesen",Chinese (female),kínai (nő),noun,2014-10-16,,
"s Chinesisch,~e",Chinese,kínai,noun,2014-10-16,,
"r Chirurg,~en",surgeon,sebész,noun,2014-10-18,,
"e Chirurgie,~n",surgery,sebészet,noun,2014-10-18,,
"r Computer,~",computer,számítógép,noun,2014-10-06,,
"s Cookie,~s",cookie,"cookie, süti (IT)",noun,2014-10-06,,
"s Croissant,~s",croissant ,croissant ,noun,2014-05-01,,
"e Cro­quet­te,~n","croquette, croquet",krokett,noun,2014-05-01,,
"r Dachboden,⍨","loft, attic, roof chamber","tetőtér, padlás",noun,2014-05-01,,
"e Datei,~en",file,fájl,noun,2014-10-06,,
"s Dateiformat,~e",file format,fájlformátum,noun,2014-10-06,,
"e Datenbank,~en",database,adatbázis,noun,2014-10-06,,
e Datenübertragung,data transfer,adatátvitel,noun,2014-10-06,,
e Dauerleistung,stamina,állóképesség,noun,2014-08-11,,
"e Decke,~n","cover, blanket; ceiling; roof","takaró, pokróc; mennyezet; tető",noun,2014-05-01,,
"r Demonstrant,~en",protester,demonstráló,noun,2014-05-01,,
"e Demonstrantin,~nen",protester,demonstráló,noun,2014-05-01,,
"r Depp,~en","douche, douchebag, jerk, jackass",idióta,noun,2014-10-15,,
"r Desktop,~s",desktop pc,asztali számítógép,noun,2014-10-06,,
"e Deutsche, Deutschen",German (female),"német (személy, nő)",noun,2014-08-13,,
"e Deutsche,~n",German (female),német (nő),noun,2014-10-16,,
"r Deutsche,~n",German (male),német (férfi),noun,2014-10-16,,
"r Deutscher, Deutschen",German (male),"német (személy, férfi)",noun,2014-08-13,,
e Deutschkenntnisse,German knowledge,némettudás,noun,2014-09-23,,
"s Deutschland,~s",Germany,Németország,noun,2014-10-16,,
"r Diebstahl,⍨e",theft,lopás,noun,2014-06-04,,
"s Ding,~e",thing (object),"izé, dolog",noun,2014-05-01,,
"s Dokument,~en",document,dokumentum,noun,2014-10-06,,
"r Döner,~",doner ,döner,noun,2014-05-01,,
"r Drucker,~",printer,nyomtató,noun,2014-10-06,,
"s Druckerkabel,~",printer cable,nyomtatókábel,noun,2014-10-06,,
"r Dummkopf,⍨e",fool,idióta (kedves is lehet),noun,2014-10-15,,
"r Durchbruch,⍨e",breakthrough,áttörés,noun,2014-05-07,,
"r Durchfall,-",diarrhea,hasmenés,noun,2014-05-09,,
"r Dürüm,~",dürüm,dürüm,noun,2014-10-15,,
"e Ecke,~n",corner,sarok,noun,2014-10-08,,
r eCommerce,eCommerce,eCommerce,noun,2014-10-06,,
"r Editor,~en",editor,szövegszerkesztő,noun,2014-10-06,,
e Ehre,"honor, kudos",becsület,noun,2014-10-06,,
"e Ehre,~n",honor; kudos (colloquial),tisztelet; megtiszteltetés,noun,2014-08-31,,
e Ehrenhaft,honorable,tiszteletbeli,noun,2014-10-06,,
"s Ehrenwort,~e",word of honor,becsületszó,noun,2014-10-14,,
"r Ehrgeizige,~n",ambitious (person),ambiciózus (személy),noun,2014-08-31,,
r Ehrliche,honest (person),őszinte (személy),noun,2014-08-31,,
"e Eigentschaft,-en",property,tulajdonság,noun,2014-08-24,,
"r Eindruck,~en",impression,benyomás,noun,2014-10-09,,
"e Einführung,~en",introduction,bevezetés,noun,2014-05-01,,
"s Einkommen,-",income,bevétel,noun,2014-05-09,,
"r Einsatz,⍨e",use,bevetés (katonai is); használat,noun,2014-08-24,,
"s Einschreiben,~","registered mail, registered letter, certified mail",tértivevényes levél,noun,2014-10-16,,
"r Einwohner,-",inhabitant,lakos,noun,2014-05-29,,
"s Eiweiß,~e",protein,fehérje,noun,2014-05-01,,
"r Ekel,-","creep (disgusting, colloquial)",gusztustalanság,noun,2014-10-01,,
"s Ekel,~",disgusting person,gusztustalan ember,noun,2014-10-01,,
"r Empfang,~en",reception (social),fogadás (nem sport),noun,2014-05-01,,
"s England,-",England,Anglia,noun,2014-10-16,,
"r Engländer,~",Englishman,angol (férfi),noun,2014-10-16,,
"e Engländerin,~nen",Englishwoman,angol (nő),noun,2014-10-16,,
"s Englisch,~e",English,angol,noun,2014-10-16,,
"e Entscheidung,~en",decision,döntés,noun,2014-05-01,,
"e Enttäuschung,~en",disappointment,csalódottság,noun,2014-10-18,,
"e Erdanziehungskraft,⍨e",gravity,gravitáció,noun,2014-10-14,,
"e Erfahrung,~en",experience,tapasztalat,noun,2014-08-24,,
"r Erfolg,~e",success ,siker,noun,2014-05-11,,
"r Erfolgsverwöhnte,~n",spoiled by success (person),sikerhez szokott (kb. elkényeztetette a sors),noun,2014-08-31,,
"s Ergebnis,~se",result,eredmény,noun,2014-05-01,,
"e Erholung,~e","rest, recreation; recovery",pihenés; felépülés,noun,2014-10-10,,
"e Erinnerung,~en","memory, remembrance",emlék,noun,2014-05-09,,
"e Erkrankung,~en",illness,betegség,noun,2014-05-01,,
"e Ernte,~n",harvest,termés,noun,2014-05-01,,
"r Ersatz,~e","replacement, substitute","pótlék, tartalék",noun,2014-09-14,,
"e Erwartung,~en",expectation,elvárás,noun,2014-07-06,,
"e Erzieherin,~nen",governess,nevelőnő,noun,2014-08-13,,
"r Este,~n",Estonian (male),észt (férfi),noun,2014-10-16,,
"e Estin,~nen",Estonian (female),észt (nő),noun,2014-10-16,,
"s Estisch,~e",Estonian,észt,noun,2014-10-16,,
"s Estland,-",Estonia,Észtország,noun,2014-10-16,,
"r Estländer,~",Estonian (male),észt (férfi),noun,2014-10-16,,
"e Estländerin,~nen",Estonian (female),észt (nő),noun,2014-10-16,,
"s Fach,⍨er",subject,tantárgy,noun,2014-08-06,,
"e Fahne,~n",flag (country flag only),zászló,noun,2014-05-01,,
"r Fahrt,~en","trip, journey",utazás,noun,2014-05-01,,
"e Farbpalette,~n",color palette,színpaletta,noun,2014-10-06,,
"r Feind,~e",enemy,"ellenség, haragos",noun,2014-09-22,,
"e Festplatte,~n",harddrive; harddisk,merevlemez,noun,2014-10-06,,
"e Filiale,~n",branch (office of an organization with several locations),üzlet; üzletfiók,noun,2014-06-04,,
"e Firewall,~s",firewall (IT),tűzfal (IT),noun,2014-10-06,,
"e Firma, Firmen",company,cég,noun,2014-10-09,,
"e Firmenschließung,~en",company shutdown,cégbezárás,noun,2014-05-01,,
"r Flachbildschirm,~e",flatscreen,lapos monitor; lapos képernyő,noun,2014-10-06,,
"e Fläche,~n",surface,terület (matematikai),noun,2014-07-14,,
"e Flachzange,~",flat-nose pliers,laposfogó,noun,2014-08-04,,
"e Flagge,~n",flag,zászló,noun,2014-05-01,,
"s Flämisch,~e",Flemish,flamand,noun,2014-10-16,,
"e Flatrate,~s",flatrate,átalányár,noun,2014-10-06,,
"s Fleisch,-","meet, flesh, pulp",hús,noun,2014-10-15,,
"r Flieger,~",aviator; airplane,repülő; pilóta,noun,2014-10-15,,
"e Fliegerstaffel,~n",air squadron,repülőszázad,noun,2014-10-14,,
"s Frankreich,-",France,Franciaország,noun,2014-10-16,,
"r Franzose,~n",Frenchman,francia (férfi),noun,2014-10-16,,
"e Französin,~nen",Frenchwoman,francia (nő),noun,2014-10-16,,
"s Französisch,~e",French,francia,noun,2014-10-16,,
"e Friedenspfeife,~n",peace-pipe,békepipa,noun,2014-10-14,,
"s Gälisch,~e",Gaelic,gall,noun,2014-10-16,,
"r Garten,⍨",garden,kert,noun,2014-05-01,,
"s Gebiet,~e","area, territory","terület, övezet, környék",noun,2014-07-14,,
"e Geborgenheit,~en",safety,biztonság,noun,2014-10-14,,
"e Gebühr,~en",fee,díj,noun,2014-05-01,,
"e Geduld,-",patience,türelem,noun,2014-05-01,,
"s Gefahr,~en",danger,veszély,noun,2014-05-01,,
"s Gefängnis,~se",prison,börtön,noun,2014-05-01,,
"e Gegend,~en","region, area; neighborhood",környék,noun,2014-05-01,,
"r Gegenstand,⍨e","thing, item, object",tárgy,noun,2014-08-24,,
"s Gehalt,~e",content,tartalom,noun,2014-05-01,,
"s Gehalt,⍨er",salary,fizetés (alkalmazotti),noun,2014-05-01,,
"e Geheimzahl,~en",PIN number,pinkód,noun,2014-05-29,,
"e Geheimzahl,~en",PIN,PIN,noun,2014-10-06,,
"r Geier,~",vulture,keselyű,noun,2014-10-14,,
"s Geländer,~e","railing, handrail, banister",korlát,noun,2014-08-05,,
"s Geräusch,~e",noise,zaj,noun,2014-09-09,,
"s Gerüst,~e","scaffold, scaffolding","állvány, állványzat",noun,2014-08-05,,
"s Geschwister,~",sibling,testvér,noun,2014-10-18,,
"s Gesetz,~e","law, act, bill, statute",törvény,noun,2014-06-04,,
"s Gespräch,~e",conversation,beszélgetés,noun,2014-05-14,,
"s Gewissen,-",conscience,lelkiismeret,noun,2014-05-01,,
"e Gewohnheit,~en",habit,szokás,noun,2014-08-24,,
"e Gießkanne,~n",watering can; watering pot,öntözőkanna,noun,2014-09-01,,
"s Gleiche,~n",same,ugyanaz,noun,2014-10-01,,
"r Gleis,~en",platform; track,peron; sín,noun,2014-05-01,,
"e Glocke,~n",bell,csengő,noun,2014-05-01,,
"r Glückspilz,~e",lucky individual,szerencsés flótás,noun,2014-05-01,,
"e Grenze,~n",border,határ (átv. is),noun,2014-05-01,,
"r Grieche,~n",Greek (male),görög (férfi),noun,2014-10-16,,
"s Griechenland,-",Greece,Görögország,noun,2014-10-16,,
"e Griechin,~nen",Greek (female),görög (nő),noun,2014-10-16,,
"s Griechisch,~e",Greek,görög,noun,2014-10-16,,
"s Großbritannien,-",Great Britain,Nagy Britannia,noun,2014-10-16,,
"e Großschreibung,~en",upper case,nagybetű,noun,2014-10-06,,
"s/r Gu­lasch,~s/e",goulash,gulyás,noun,2014-05-01,,
"r Gurt,~e",belt; strap,öv,noun,2014-05-15,,
"s Gyros,~",gyros ,gyros,noun,2014-05-01,,
"e Hafen,⍨e",harbor; port,kikötő,noun,2014-07-14,,
"r Hamburger,~/~s",hamburger ,hamburger,noun,2014-05-01,,
"r Hammel,~","wether, mutton",ürü; birkahús,noun,2014-10-15,,
"e Harddisk,~s",harddisk,merevlemez,noun,2014-10-06,,
"e Hardware,~s",hardware,hardver,noun,2014-10-06,,
"e Hase,~n",hare,nyúl,noun,2014-05-01,,
"e Hauptseite,~n",main page,főoldal (IT),noun,2014-10-06,,
"s Hebräisch,~e",Hebrew,héber,noun,2014-10-16,,
"r Hecht,~e",pike,csődőr,noun,2014-10-01,,
"e Heiserkeit,~en",hoarseness,rekedtség,noun,2014-07-28,,
"e Herausforderung,~en",challenge,kihivás,noun,2014-06-06,,
"r Herbst,~e","fall, autumn",ősz,noun,2014-05-01,,
"r Herzinfarkt,~e",heart attack,szívroham,noun,2014-10-14,,
"s Highlight,~s",highlight,fénypont,noun,2014-07-14,,
"e Hilfesprechblase,~n",help balloon,segítség szövegbuborék (IT),noun,2014-10-06,,
"r Himmel,~",sky; heaven,ég; menny,noun,2014-05-01,,
"s Hindi,-",Hindi,hindi,noun,2014-10-16,,
"r Hintergrund,⍨e",background,háttér,noun,2014-10-06,,
"r Hirni,~s",idiot; pea-brain,agyas (slang),noun,2014-10-15,,
"r Hit,~s",hit,találat,noun,2014-10-06,,
"e Hitze,-",heat,"forróság, hőség",noun,2014-05-01,,
"e Hoffnung,~en",hope,remény,noun,2014-05-09,,
"e Höflichkeit,~en","courtesy, politeness, courtliness ",illetlenség,noun,2014-08-20,,
"e Hölle,~n",hell,pokol,noun,2014-05-01,,
"s Holz,⍨er",wood,fa,noun,2014-05-10,,
"e Homepage,~s",homepage,főoldal (IT),noun,2014-10-06,,
"r Homie,~s","homie, buddy (slang)","span (informális), haver",noun,2014-08-20,,
"r Host,~s",host,host; kiszolgáló (IT),noun,2014-10-06,,
"r/s Hot Dog,~s",hotdog ,hotdog,noun,2014-05-01,,
"e Hure,~n",whore,kurva,noun,2014-08-02,,
"r Idiot,~en",idiot (male),idióta (férfi),noun,2014-10-15,,
"e Idiotin,~nen","jerk, moron, idiot (female)",idióta (nő),noun,2014-10-15,,
"r Inder,~",Indian (male),indiai (férfi),noun,2014-10-16,,
"e Inderin,~nen",Indian (female),indiai (nő),noun,2014-10-16,,
"s Indien,-",India,India,noun,2014-10-16,,
"s Indisch,~e",Indian,indiai,noun,2014-10-16,,
"r Insasse,~n",inhabitant; inmate,bennlakó; fegyenc,noun,2014-05-01,,
"s Insekt,~en",insect,rovar,noun,2014-05-01,,
"r Ire,~n",Irishman,ír (férfi),noun,2014-10-16,,
"e Irin,~nen",Irishwoman,ír (nő),noun,2014-10-16,,
"s Irisch,~e",Irish,ír,noun,2014-10-16,,
"s Irland,-",Irland,Írország,noun,2014-10-16,,
"r Irländer,~",Irishman,ír,noun,2014-10-16,,
"r Israeli,~s",Israeli (male),izraeli (férfi),noun,2014-10-16,,
"e Israelin,~nen",Israeli (female),izraeli (nő),noun,2014-10-16,,
"s Israelisch,~e","Israeli, from Israel",izraeli,noun,2014-10-16,,
"s Italien,-",Italy,Olaszország,noun,2014-10-16,,
"r Italiener,~",Italian (male),olasz (férfi),noun,2014-10-16,,
"e Italienerin,~nen",Italian (female),olasz (nő),noun,2014-10-16,,
"s Italienisch,~e",Italian,olasz,noun,2014-10-16,,
"s Japan,-",Japan,Japán,noun,2014-10-16,,
"r Japaner,~",Japanese (male),japán (férfi),noun,2014-10-16,,
"e Japanerin,~nen",Japanese (female),japán (nő),noun,2014-10-16,,
"s Japanisch,~e",Japanese,japán,noun,2014-10-16,,
"r Joystick,~s",joystick,joystick,noun,2014-10-06,,
"s Jurastudium, Jurastudien",law studies,jogi tanulmány,noun,2014-09-10,,
"s Kabrio,~s",cabrio,kabrió,noun,2014-05-01,,
"r Käfer,~",beetle,bogár,noun,2014-05-01,,
"s Kanada,-",Canada,Kanada,noun,2014-10-16,,
"r Kanadier,~",Canadian (male),kanadai (férfi),noun,2014-10-16,,
"e Kanadierin,~nen",Canadian (female),kanadai (nő),noun,2014-10-16,,
"s Kanadisch,~e",Canadian,kanadai,noun,2014-10-16,,
"e Kantine,~n",company cafeteria,étkezde,noun,2014-10-10,,
"s Kapitel,~",chapter,fejezet,noun,2014-10-11,,
"r Ke­bab,~s",kebap ,kebab,noun,2014-05-01,,
"r Kenntnissstand,⍨e",knowledge level,tudásszint,noun,2014-09-23,,
"s Kennzeichen,~",license plate,rendszám,noun,2014-06-04,,
"e Kiste,~n",box,doboz,noun,2014-05-01,,
"r Klamotten,- (pl)",rags,"ruházat, ruhák",noun,2014-10-15,,
"e Kleinschreibung,~en",lower case,kisbetű,noun,2014-10-06,,
"s Kleinstkind,~er",child,kisgyerek,noun,2014-08-20,,
"r Klinkenstecker,~",jack; plug,jack; plug; dugó,noun,2014-10-06,,
"r Knast,⍨e",jail,dutyi,noun,2014-05-01,,
"e Kneifzange,~n",pincer,harapófogó,noun,2014-08-04,,
"e Kneipe,~n",pub,kocsma,noun,2014-10-13,,
"r Knopf,⍨e",button,gomb,noun,2014-05-10,,
e Köchin,cook (femaie),szakácsnő,noun,2014-08-11,,
"r Kollege,~n",collegue,kolléga,noun,2014-10-08,,
"e Kombinationszange,~n","lineman's pliers, combination pliers",komináltfogó,noun,2014-08-04,,
